domain,edge,x,y,n_genomes
Bacteria,4,0.018699681633280233,-0.003930430143007894,30163
Bacteria,4,0.018583010623425926,-0.004449504519015818,30163
Bacteria,4,0.01845193384147827,-0.004965129585903284,30163
Bacteria,4,0.018306552899726342,-0.005476905624951383,30163
Bacteria,4,0.01814698049921499,-0.005984435901253678,30163
Bacteria,4,0.01797334034237762,-0.006487326971269773,30163
Bacteria,4,0.023964453789836825,-0.008649769295026363,30163
Bacteria,60677,0.018801856426278928,-0.003408308850544052,0
Bacteria,60677,0.01888945579530044,-0.0028835453962949287,0
Bacteria,60677,0.018962411832266195,-0.0023565465831665777,0
Bacteria,60677,0.019020667980783758,-0.0018277209469419915,0
Bacteria,60677,0.019064179079990043,-0.0012974784395792755,0
Bacteria,60677,0.019092911399560535,-7.662301114119878e-4,0
Bacteria,60677,0.01910684266585746,-2.3438779249800439e-4,0
Bacteria,60677,0.9744489759587306,-0.011953777417398228,0
Bacteria,5,0.023964453789836825,-0.008649769295026363,30157
Bacteria,5,0.02344865195980912,-0.009963647704036184,30157
Bacteria,5,0.02286087904615849,-0.011246944631290631,30157
Bacteria,5,0.022202939103701903,-0.012495721246079013,30157
Bacteria,5,0.021476851551325296,-0.013706144671086091,30157
Bacteria,5,0.020684844973769476,-0.014874499746664728,30157
Bacteria,5,0.019829350281421968,-0.015997200433797036,30157
Bacteria,5,0.02478668785177746,-0.019996500542246293,30157
Bacteria,60536,0.023964453789836825,-0.008649769295026363,6
Bacteria,60536,0.024406701382689522,-0.007309342098891448,6
Bacteria,60536,0.024774037345262394,-0.0059464802966082125,6
Bacteria,60536,0.02506533421115247,-0.004565366927820286,6
Bacteria,60536,0.02527969790119774,-0.003170241051810424,6
Bacteria,60536,0.025416470467679583,-0.0017653847365311638,6
Bacteria,60536,0.025475232113765473,-3.5510991562873065e-4,6
Bacteria,60536,0.8916331239817918,-0.012428847047005576,6
Bacteria,6,0.02478668785177746,-0.019996500542246293,30157
Bacteria,6,0.022461746958778107,-0.022576754686121987,30157
Bacteria,6,0.019869652870924938,-0.024888487768172117,30157
Bacteria,6,0.017041235167867416,-0.026904204737381615,30157
Bacteria,6,0.014010134190543389,-0.0285999312684572,30157
Bacteria,6,0.010812400933183294,-0.02995549890516941,30157
Bacteria,6,0.007486068263736448,-0.030954784937844208,30157
Bacteria,6,0.008983281916483737,-0.03714574192541305,30157
Bacteria,60533,0.02478668785177746,-0.019996500542246293,0
Bacteria,60533,0.026816823409216803,-0.01717841409549759,0
Bacteria,60533,0.02852800781549455,-0.014156012809989623,0
Bacteria,60533,0.029899888763109426,-0.010965244208461171,0
Bacteria,60533,0.03091614951682318,-0.00764405832336087,0
Bacteria,60533,0.03156470297995285,-0.004231956330689661,0
Bacteria,60533,0.03183783545462683,-7.695207350132901e-4,0
