domain,node,x,y,n_genomes
Bacteria,42203,-0.9630788354034442,-0.26921953271994503,102
Bacteria,46479,-0.5902173762432397,-0.7674395228245806,0
Bacteria,46479,-0.6104225877610578,-0.7920759208252032,0
Bacteria,46479,-0.6098703023475823,-0.7925012393141531,0
Bacteria,46479,-0.6093177205889818,-0.7929261727148672,0
Bacteria,46860,-0.5551241782913355,-0.816407813570262,0
Bacteria,46860,-0.5625112219594468,-0.8267896498926979,0
Bacteria,46860,-0.5623190950225396,-0.8269203319383507,0
Bacteria,46860,-0.5621269377257114,-0.8270509693381141,0
Bacteria,58918,0.919138794287242,-0.2832159270137665,15
Bacteria,58918,0.9552293526043377,-0.2958663277953369,15
Bacteria,58918,0.9555724434101598,-0.2947563492024165,15
Bacteria,58918,0.9559142444189107,-0.2936459727580527,15
Bacteria,59022,0.8276015357879339,-0.20867051607097745,10
Bacteria,59022,0.9598282027118485,-0.28058834843760444,10
Bacteria,59022,0.9612019359482026,-0.27584567846792063,10
Bacteria,59022,0.9625522350222961,-0.2710962833636461,10
Bacteria,59022,0.9638790670137549,-0.2663402789153254,10
Bacteria,59022,0.9651823995743334,-0.26157778107463925,10
Bacteria,59022,0.9664622009287038,-0.2568089059515767,10
Bacteria,59022,0.9677184398752301,-0.252033769811608,10
Bacteria,59022,0.9689510857867298,-0.24725248907284486,10
Bacteria,59022,0.9701601086112199,-0.24246518030320544,10
Bacteria,59276,0.9455820351357144,-0.23572932437472477,0
Bacteria,59276,0.9701601086112199,-0.24246518030320544,0
Bacteria,59276,0.9702726816277356,-0.24201430388909406,0
Bacteria,59276,0.9703850451020045,-0.24156337520903434,0
Bacteria,59357,0.8361197744595166,-0.17138088888100117,9
Bacteria,59357,0.9730902781776766,-0.23042419689800833,9
Bacteria,59357,0.9742853877697818,-0.22531751635921687,9
Bacteria,59357,0.975453698207113,-0.22020463813023206,9
Bacteria,59357,0.9765951773535712,-0.21508570284829945,9
Bacteria,59357,0.9777097938110902,-0.20996085131727615,9
Bacteria,59357,0.9787975169205033,-0.2048302245037511,9
Bacteria,59357,0.9798583167623834,-0.19969396353317426,9
Bacteria,59357,0.9808921641578687,-0.19455220968596787,9
Bacteria,59593,0.8952785919152328,-0.1675826209781206,0
Bacteria,59593,0.9808921641578687,-0.19455220968596787,0
Bacteria,59593,0.9822099569846279,-0.18778604953578304,0
Bacteria,59593,0.9834810776486635,-0.1810109662617805,0
Bacteria,32327,-0.291012088915257,0.7615800967139583,0
Bacteria,32327,-0.2883106750374468,0.9575369207813617,0
Bacteria,32327,-0.29287974282014134,0.9561492855436372,0
Bacteria,32327,-0.2974421323847268,0.954739848274087,0
Bacteria,32327,-0.3019977396999973,0.9533086411105758,0
Bacteria,32327,-0.3065464608893964,0.9518556966873633,0
Bacteria,32327,-0.31108819223338413,0.9503810481343602,0
Bacteria,32327,-0.3156228301718018,0.9488847290763731,0
Bacteria,32327,-0.3201502713062347,0.9473667736323373,0
Bacteria,32327,-0.3246704124023688,0.9458272164145393,0
Bacteria,32327,-0.32918315039234447,0.9442660925278272,0
Bacteria,32327,-0.3336883823771075,0.9426834375688105,0
Bacteria,32327,-0.33818600562875517,0.9410792876250479,0
Bacteria,32327,-0.3426759175928775,0.9394536792742255,0
Bacteria,32327,-0.3471580158908978,0.9378066495833217,0
Bacteria,32327,-0.3516321983224047,0.9361382361077626,0
Bacteria,32327,-0.35609836286748464,0.9344484768905652,0
Bacteria,32327,-0.36055640768904706,0.9327374104614705,0
Bacteria,32327,-0.3650062311351461,0.9310050758360645,0
Bacteria,32327,-0.3694477317412994,0.929251512514889,0
Bacteria,32327,-0.37388080823280145,0.9274767604825401,0
Bacteria,32327,-0.37830535952703204,0.9256808602067578,0
Bacteria,32327,-0.3827212847357622,0.9238638526375018,0
Bacteria,32327,-0.38712848316745446,0.9220257792060187,0
Bacteria,32327,-0.39152685432955775,0.9201666818238972,0
Bacteria,35976,-0.6883322195746197,0.5867231990513794,4
Bacteria,35976,-0.756450011435186,0.654051511885499,4
Bacteria,35976,-0.7592797453320259,0.6507643723564881,4
Bacteria,35976,-0.7620951951418271,0.6474649902054476,4
Bacteria,39192,-0.884989847230793,0.18665028022487568,2
Bacteria,39192,-0.9770294751551708,0.2131042108406389,2
Bacteria,39192,-0.9778960342291291,0.20909171728918896,2
Bacteria,39192,-0.9787461147485292,0.20507570032712033,2
Bacteria,40291,-0.8662233036026848,0.005697110603796469,1
Bacteria,40291,-0.9990164919649814,0.04434014864637034,1
Bacteria,40291,-0.9992247732654008,0.039368165981009076,1
Bacteria,40291,-0.9994083097708047,0.03439520840267187,1
Bacteria,40291,-0.9995670969360964,0.029421399061644017,1
Bacteria,40291,-0.9997011308290716,0.024446861129303846,1
Bacteria,40291,-0.999810408130516,0.01947171779507297,1
Bacteria,40291,-0.9998949261342874,0.014496092263363833,1
Bacteria,40291,-0.9999546827473824,0.00952010775053135,1
Bacteria,40291,-0.9999896764899888,0.004543887481819793,1
Bacteria,41129,-0.9004773674403908,-0.08476949650216482,7
Bacteria,41129,-0.9963375933269728,-0.0855067256034037,7
Bacteria,41129,-0.9958804562114523,-0.09067588949698643,7
Bacteria,41129,-0.9953965008023716,-0.09584261155871213,7
Bacteria,41424,-0.8419474428264323,-0.13997210377038172,416
Bacteria,41424,-0.991452161223061,-0.13047073237366813,416
Bacteria,41424,-0.9907955716154438,-0.13536666970575126,416
Bacteria,41424,-0.9901148052956853,-0.14025930391345556,416
Bacteria,41424,-0.9894098788753772,-0.14514851561008554,416
Bacteria,41424,-0.9886808095556492,-0.15003418549246067,416
Bacteria,41424,-0.9879276151267493,-0.154916194343824,416
Bacteria,41424,-0.9871503139676101,-0.15979442303675312,416
Bacteria,41424,-0.9863489250454,-0.16466875253606586,416
Bacteria,41424,-0.98552346791506,-0.16953906390172688,416
Bacteria,41424,-0.9846739627188275,-0.17440523829174726,416
Bacteria,41710,-0.978375297998394,-0.17344593497834765,0
Bacteria,41710,-0.9846739627188275,-0.17440523829174726,0
Bacteria,41710,-0.9846469345240244,-0.1745577678948764,0
Bacteria,41710,-0.9846198827018274,-0.17471029330935126,0
Bacteria,41712,-0.836087529748296,-0.17153812671026594,264
Bacteria,41712,-0.9846198827018274,-0.17471029330935126,264
Bacteria,41712,-0.9837324786081081,-0.17963966859117797,264
Bacteria,41712,-0.9828203963784234,-0.18456453739155465,264
Bacteria,41712,-0.9818836588934753,-0.1894847761641065,264
Bacteria,41712,-0.9809222896524722,-0.19440026147860878,264
Bacteria,41712,-0.9799363127725411,-0.1993108700240821,264
Bacteria,41712,-0.9789257529881216,-0.20421647861188685,264
Bacteria,41905,-0.966400670893039,-0.20187697907312357,0
Bacteria,41905,-0.9789257529881216,-0.20421647861188685,0
Bacteria,41905,-0.9788782750903258,-0.20444393499487484,0
Bacteria,41905,-0.9788307443423465,-0.20467138033982132,0
Bacteria,46391,-0.5665604560844875,-0.7293730386790033,3
Bacteria,46391,-0.6212842768954377,-0.783585252083341,3
Bacteria,46391,-0.6158680645839694,-0.7878493047693802,3
Bacteria,46391,-0.6104225877610578,-0.7920759208252032,3
Bacteria,46857,-0.5519353247924642,-0.8108735802275088,0
Bacteria,46857,-0.5630234119527026,-0.8264409462224978,0
Bacteria,46857,-0.5627673439641834,-0.8266153377281954,0
Bacteria,46857,-0.5625112219594468,-0.8267896498926979,0
Bacteria,52637,0.28762939464197074,-0.9377728388061974,0
Bacteria,52637,0.29280675872072137,-0.9561716383827044,0
Bacteria,52637,0.29317702805785156,-0.9560581730308914,0
Bacteria,52637,0.2935472534261189,-0.9559445642954313,0
Bacteria,53090,0.33461597793497005,-0.8608181731708089,29
Bacteria,53090,0.3592724409006272,-0.9332327218916541,29
Bacteria,53090,0.36122325641584163,-0.932479361178753,29
Bacteria,53090,0.3631724922173971,-0.9317219225158355,29
Bacteria,58901,0.9124470412397876,-0.28329548649866565,0
Bacteria,58901,0.9544006750730992,-0.2985286442203034,0
Bacteria,58901,0.9548159417573727,-0.297197774833496,0
Bacteria,58901,0.9552293526043377,-0.2958663277953369,0
Bacteria,32318,-0.27694245126507405,0.9210484586412183,0
Bacteria,32318,-0.2868270496047416,0.9579823816830031,0
Bacteria,32318,-0.2875689485766885,0.9577599385099055,0
Bacteria,32318,-0.2883106750374468,0.9575369207813617,0
Bacteria,34414,-0.5287015862083276,0.7259743752768973,4
Bacteria,34414,-0.5775713545609457,0.8163402050558544,4
Bacteria,34414,-0.581904815519198,0.8132569001708919,4
Bacteria,34414,-0.5862218169198238,0.8101505917835403,4
Bacteria,34414,-0.590522236653619,0.8070213677577609,4
Bacteria,34517,-0.5437520033879228,0.6578764664642559,2
Bacteria,34517,-0.590522236653619,0.8070213677577609,2
Bacteria,34517,-0.5943285062042206,0.8042223739197136,2
Bacteria,34517,-0.598121509121577,0.8014054281860882,2
Bacteria,34517,-0.6019011607380705,0.7985705934369005,2
Bacteria,34517,-0.6056673766841123,0.7957179329514861,2
Bacteria,34517,-0.609420072890025,0.7928475104070875,2
Bacteria,34517,-0.6131591655879199,0.7899593898774327,2
Bacteria,34517,-0.6168845713135661,0.7870536358313058,2
Bacteria,34517,-0.6205962069082549,0.784130313131106,2
Bacteria,34517,-0.6242939895206543,0.7811894870314021,2
Bacteria,34517,-0.6279778366086598,0.778231223177474,2
Bacteria,34517,-0.6316476659412362,0.7752555876038485,2
Bacteria,34517,-0.6353033956002536,0.7722626467328247,2
Bacteria,34517,-0.6389449439823157,0.7692524673729916,2
Bacteria,34517,-0.6425722298005814,0.7662251167177365,2
Bacteria,35975,-0.7515311784407517,0.6500020030164632,0
