"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"BP"	"GO:0006605"	"protein targeting"	"76/2271"	"444/18866"	0.000932902204969503	0.0348404232671457	0.0322349447176751	"NOS2/SEC62/UBE2D1/HSP90AA1/ZFAND6/SIRT4/SH3GLB1/FBXO7/VTI1B/HAO1/ZDHHC2/BNIP3L/GSK3A/SEC61B/YWHAE/UBE2D3/HSPA8/DAO/RPS12/EHHADH/RPL24/HTRA2/TRAK2/RHOU/CAT/RPL21/AP1M2/ATP5IF1/INPP5K/SEC61G/RPS15A/TIMM10/RPLP1/RPS24/IDH1/SRP14/RPS11/SRP9/ATG3/STOM/TIMM8B/RPL30/KCNB1/PINK1/DMTN/ZDHHC3/RAB8B/CACNG2/MTCL1/MFF/YWHAG/GABARAP/UBB/ARL6IP1/FUT10/RPL38/HAP1/RPLP2/PIPOX/ZDHHC20/RPL35A/UBE2L3/RPS26/RPL12/UBL5/GET3/RTP2/RPL39/LEPROT/FIS1/SIAH3/UBA52/RPL41/TIMM23/RPL17/NCOA4"	76
"BP"	"GO:0043487"	"regulation of RNA stability"	"39/2271"	"195/18866"	0.000937792795934589	0.0348404232671457	0.0322349447176751	"SLC11A1/PSMA4/YBX3/YBX1/IGF2BP2/HNRNPC/PSMA3/PSMB5/PSME2/PSMA7/E2F1/HSPB1/HSPA8/APOBEC1/MAPK14/RBM24/TARDBP/PSMF1/DKC1/IGF2BP3/PSMB7/HNRNPD/PSMB6/SERBP1/PSMA5/PSMA8/TENT5B/IGF2BP1/PSMB4/PSMD6/UBB/PSMD2/EXOSC4/TENT5C/PSMB8/HSPA1A/UBA52/PSMB9/PSMB3"	39
"BP"	"GO:1903825"	"organic acid transmembrane transport"	"32/2271"	"151/18866"	0.00095410536015369	0.0349142461057115	0.0323032468476987	"SLC38A5/ATP1A2/SLC7A9/MPC1/SLC6A15/ACACB/SLC7A8/SLC7A5/AQP9/SLC17A7/SLC1A6/SLC1A5/FOLR1/TSPO2/SLC2A1/SLC6A8/SLC6A6/SLC3A1/MPC2/SLC25A38/SLC43A1/SLC16A12/SLC13A3/SLC38A11/ARL6IP1/LRRC8E/SLC38A9/SLC17A8/SLC35D3/SLC25A18/SLC36A3/SLC22A4"	32
"BP"	"GO:0046883"	"regulation of hormone secretion"	"50/2271"	"267/18866"	0.000954971479604801	0.0349142461057115	0.0323032468476987	"ABCC8/NOS2/NADK/ALOX5/ISL1/CASR/SRI/GNAS/SIRT4/CDK16/RETN/TFR2/RAP1A/SLC2A1/KLF7/FGF23/FKBP1B/TARDBP/INHA/IL1B/FFAR2/TRPM4/MTNR1B/GLUL/UQCC2/RBP4/CACNA1A/CELA2A/MPC2/REN/ILDR1/SYBU/GJA1/TIAM1/KCNB1/GIP/KALRN/INHBB/CCKAR/CARTPT/SLC30A8/RAB8B/SCG5/MYRIP/SYT9/KIF5B/FGA/HTR1A/EFNA5/FFAR3"	50
"BP"	"GO:0045930"	"negative regulation of mitotic cell cycle"	"61/2271"	"341/18866"	0.000956866777448536	0.0349142461057115	0.0323032468476987	"PSMA4/PTPN3/GTSE1/BRINP1/ATRX/FBXO7/RBX1/PSMA3/PSMB5/PSME2/BMP7/PSMA7/E2F1/RGCC/SKP1/BCL6/GADD45A/CDC20/CENPF/TEX14/ZWINT/CDKN2C/PSMF1/TOP2A/PCNA/USP44/PSMB7/TOM1L1/CARM1/PSMB6/PSMA5/PSMA8/BTG3/PSMB4/BTG2/BRINP3/PSMD6/MAD2L1/PTTG1/RAD21/GFI1B/CDT1/FAM107A/CDK1/BCL2L1/NABP1/PSMD2/GADD45GIP1/GAS1/FBXL7/FOXO4/RPS27L/MAGI2/DCUN1D3/HUS1B/KANK2/TFDP1/PSMB8/E2F4/PSMB9/PSMB3"	61
"BP"	"GO:0020027"	"hemoglobin metabolic process"	"7/2271"	"15/18866"	0.00096803741961069	0.0351128365811451	0.0324869860907032	"EIF2AK1/ADD1/CAT/INHA/ALAS2/EPB42/AHSP"	7
"BP"	"GO:2000027"	"regulation of animal organ morphogenesis"	"48/2271"	"254/18866"	0.000975232666184705	0.035165742610072	0.0325359356371715	"ISL1/PSMA4/AP2S1/DMRT3/FGFR2/NTN4/XBP1/PSMA3/PSMB5/PSME2/BMP7/PSMA7/PLEKHA4/FGF1/STAT1/PSMF1/WNT2B/ANKRD6/PSMB7/PIM1/SULF1/NKD1/CLTC/ARRB2/CARM1/PSMB6/PSMA5/RSPO2/PSMA8/TIAM1/PSMB4/AP2M1/VANGL2/PSMD6/PRICKLE2/RBPJ/FZD4/PSMD2/BASP1/CAV3/NOG/RXRA/MAGI2/AP2A1/PSMB8/PSMB9/HNF1B/PSMB3"	48
"BP"	"GO:0031667"	"response to nutrient levels"	"80/2271"	"473/18866"	0.000996545435861889	0.0357241141627683	0.0330525503750314	"GCLC/AOC1/MPO/MYH13/GCLM/GABARAPL2/CASR/NUCB2/NUAK1/ACACB/SCTR/EIF2AK1/TNRC6A/SH3GLB1/DEPDC5/XBP1/BMP7/LIPG/PCSK1N/NPRL3/NAMPT/SLC6A4/HSPA8/FOLR1/CPEB4/REG1A/STAT1/PRKAG3/SLC2A1/SERPINC1/ARG1/FOXO3/FGF23/FKBP1B/TRIM25/CAT/NPY/ATG14/DAD1/APOE/PPARG/WNT2B/LDHA/GLUL/PIM1/ABCG5/GABARAPL1/MAP1LC3B/PMAIP1/SOD1/ABCG8/PSPH/ALAD/LCN2/ADM/SESN3/ACSL1/FLCN/KLF10/RRAGA/SST/WIPI2/KCNB1/GIP/INHBB/CARTPT/FAM107A/CXCL10/GABARAP/DDIT3/NIM1K/HIGD1A/UPP1/FOXO4/GAST/BECN2/WDR45/KANK2/MAP1LC3C/FIS1"	80
"BP"	"GO:0002181"	"cytoplasmic translation"	"24/2271"	"103/18866"	0.00101059031394185	0.0360169687468811	0.0333235043544596	"YBX3/ZC3H15/EIF5/GSPT1/EIF3J/RWDD1/RBM24/CPEB4/RPL24/EIF2S2/LIN28A/RPLP1/EIF3M/DPH3/RPL30/RPL38/RPL35A/ZCCHC13/RPS26/RPL39/RPL41/TMA7/MCTS1/RPL17"	24
"BP"	"GO:0003333"	"amino acid transmembrane transport"	"22/2271"	"92/18866"	0.0011197088040069	0.039675231032152	0.0367081900577376	"SLC38A5/ATP1A2/SLC7A9/SLC6A15/SLC7A8/SLC7A5/SLC17A7/SLC1A6/SLC1A5/TSPO2/SLC6A6/SLC3A1/SLC25A38/SLC43A1/SLC38A11/ARL6IP1/LRRC8E/SLC38A9/SLC17A8/SLC25A18/SLC36A3/SLC22A4"	22
"BP"	"GO:0040020"	"regulation of meiotic nuclear division"	"11/2271"	"33/18866"	0.00115526833126979	0.0406999705211712	0.037656296242478	"FZR1/CDC20/UBE2B/DMRT1/PSMA8/NPM2/PDE3A/IHO1/CALR/NANOS2/PIWIL2"	11
"BP"	"GO:0046686"	"response to cadmium ion"	"17/2271"	"64/18866"	0.00116262043820744	0.0407249330640662	0.037679392006386	"GCLC/MMP9/NUDT1/UBE2D3/SUMO1/ARG1/CAT/MT2A/PCNA/CYP1A2/SOD1/ALAD/CYB5A/DTYMK/CDK1/FOS/SLC30A1"	17
"BP"	"GO:1903828"	"negative regulation of cellular protein localization"	"26/2271"	"116/18866"	0.00117695494939677	0.0409928059079669	0.0379272324602259	"CLDN18/PICALM/ACTN2/DNAJA1/NSFL1C/SIRT4/RAB23/TMEM59/GBP1/INPP5K/CD36/TXN/CLTC/PID1/FLCN/CABP1/DMTN/AP2M1/CDT1/BCL2L1/YOD1/CAV3/SVIP/UBE2J1/LEPROT/SIAH3"	26
"BP"	"GO:0050792"	"regulation of viral process"	"42/2271"	"217/18866"	0.00120980492824812	0.0418988938427173	0.0387655602343197	"POLR2J/LTF/RSF1/SRPK1/VAPA/POLR2I/ZC3HAV1/CAV2/HSPA8/SNX3/TRIM38/STAT1/TARDBP/TRIM25/APOBEC3A/APOE/CHMP2A/TOP2A/TRIM22/INPP5K/RSAD2/IFITM3/FCN3/TNIP1/DYNLT1/POLR2K/STOM/FBXL2/MX1/SNF8/IFI27/DDB1/TRIML2/RAD23A/KPNA2/IFITM2/ISG15/PLSCR1/TRIM10/APOBEC3C/HS3ST5/CCL4"	42
"BP"	"GO:0019884"	"antigen processing and presentation of exogenous antigen"	"37/2271"	"185/18866"	0.00124815787504083	0.0429843133370802	0.0397698085790655	"PSMA4/AP2S1/KIF22/DYNLL1/NCF4/PSMA3/PSMB5/PSME2/PSMA7/CAPZA1/PSMF1/AP1M2/CTSL/CD36/PSMB7/DCTN3/KIF2B/CLTC/PSMB6/PSMA5/FCGR1A/PSMA8/FCER1G/PSMB4/AP2M1/PSMD6/RILP/PSMD2/CALR/CTSE/AP2A1/FCGR1B/CAPZA2/PSMB8/PSMB9/SEC22B/PSMB3"	37
"BP"	"GO:0031396"	"regulation of protein ubiquitination"	"41/2271"	"211/18866"	0.00126963774718081	0.0434797731297116	0.0402282162999718	"GCLC/DCUN1D1/UBE2D1/HSP90AA1/DNAJA1/OTUB2/RBX1/NDFIP2/FZR1/GSK3A/UBE2S/BIRC2/SKP1/CDC20/NMI/NDFIP1/GPS2/DYSF/DNAJB2/USP44/RAB1A/ARRB2/SH3RF2/PINK1/DTX3L/MAD2L1/FAM107A/CENPX/UBB/UBE2C/SPSB4/SPHK1/SVBP/SIAH2/PTTG1IP/UBE2L3/ISG15/DCUN1D3/PELI1/HSPA1B/HSPA1A"	41
"BP"	"GO:0051702"	"interaction with symbiont"	"22/2271"	"93/18866"	0.00130289630544603	0.0443681305273891	0.0410501394833988	"LTF/CTSG/VAPA/CAV2/HSPA8/TUSC2/ARG1/TARDBP/APOE/INPP5K/STOM/FBXL2/CAMP/IFI27/DDB1/AZU1/F2/ELANE/DEFA1/GPX1/AQP1/CCL4"	22
"BP"	"GO:0010948"	"negative regulation of cell cycle process"	"63/2271"	"359/18866"	0.00131005409876956	0.0443681305273891	0.0410501394833988	"MLXIPL/PSMA4/PPP2R5B/GTSE1/ATRX/FBXO7/RBX1/PSMA3/PSMB5/PSME2/BMP7/PSMA7/E2F1/RGCC/FZR1/BABAM1/SKP1/BCL6/KAT2B/GADD45A/CDC20/CENPF/TEX14/CBX3/CDKN2C/PSMF1/UXT/CHMP2A/PCNA/USP44/PSMB7/DMRT1/TOM1L1/CARM1/PSMB6/PSMA5/PSMA8/PSMB4/BTG2/PSMD6/MAD2L1/PTTG1/RAD21/GFI1B/CDT1/FAM107A/CDK1/RRM2/PSMD2/CALR/FBXL7/FOXO4/RPS27L/DCUN1D3/NANOS2/HUS1B/KANK2/HMGN5/TFDP1/PSMB8/E2F4/PSMB9/PSMB3"	63
"BP"	"GO:0036294"	"cellular response to decreased oxygen levels"	"42/2271"	"218/18866"	0.00132779876015124	0.0447220131853136	0.0413775576616244	"CASR/PSMA4/KCNK2/SIRT4/RBX1/PSMA3/PSMB5/PSME2/BMP7/PSMA7/E2F1/RGCC/ELOB/BNIP3L/NAMPT/CHCHD2/SLC29A1/CPEB4/FOXO3/EGR1/PTGIS/PSMF1/PSMB7/PMAIP1/PSMB6/PSMA5/CCNA2/PSMA8/BACH1/PINK1/PSMB4/PSMD6/RBPJ/UBB/PSMD2/HIGD1A/PSMB8/UBA52/PSMB9/AQP1/EGLN2/PSMB3"	42
"BP"	"GO:0015980"	"energy derivation by oxidation of organic compounds"	"51/2271"	"278/18866"	0.00136784124500517	0.0456093514958153	0.0421985379684817	"NDUFAB1/NOS2/NDUFB4/GNAS/NDUFB2/GSK3A/NDUFC1/COX6A1/PRKAG3/NDUFB3/CAT/NDUFA1/COX6B1/COX7C/UQCR11/COX7B/NDUFA2/INPP5K/BLOC1S1/COX5B/ISCU/IDH1/CYP1A2/SNCA/NDUFS6/NDUFB11/NDUFB9/NDUFC2/PID1/FLCN/UQCRB/PINK1/GYG1/UQCRQ/PHKG1/COX6C/NDUFB6/UQCRFS1/PRELID1/CDK1/NDUFA3/UQCRH/COX8A/FAHD1/IDH2/SLC25A18/NDUFB1/UQCR10/NDUFA6/NDUFA4/PPP1CB"	51
"BP"	"GO:0042391"	"regulation of membrane potential"	"75/2271"	"443/18866"	0.00136902457997227	0.0456093514958153	0.0421985379684817	"GCLC/ATP1A2/GCLM/MYOC/KCNH2/PTPN3/SRI/ACTN2/KCNN2/KCNK2/SNTA1/BNIP3L/KCNN4/SLC17A7/SLC1A6/MYH14/GSK3A/YWHAE/P2RX3/CUX2/SLC29A1/CCN6/FGF12/TUSC2/SUMO1/RIMS3/FKBP1B/ADRA1A/IFI6/YWHAH/ATP1B2/TRPM4/ATP5IF1/MTNR1B/CD36/ARRB2/PMAIP1/CACNA1A/SH3GL1/SOD1/KCNH1/IGSF11/TMEM108/GABRB2/CHRNA6/HTR3B/GRIK4/SCN2B/GJA1/PID1/GNA14/GNAQ/KCNB1/PINK1/GJD2/HCN1/STOML2/PRDX3/GABRB3/CACNG2/GRM5/PRELID1/UBB/KIF5B/BCL2L1/GLRX/CHRNA9/CHRNA7/BAIAP2/HTR3C/CAV3/GRID1/GRIN2A/HTR3E/GJA5"	75
"BP"	"GO:0031640"	"killing of cells of other organism"	"17/2271"	"65/18866"	0.00140064182179417	0.0464104560410718	0.0429397333475221	"NOS2/LTF/CTSG/TUSC2/ARG1/DEFB118/RPL30/PGLYRP4/S100A12/CAMP/DEFA4/AZU1/F2/ELANE/HMGN2/DEFA1/DEFA3"	17
"BP"	"GO:0009142"	"nucleoside triphosphate biosynthetic process"	"20/2271"	"82/18866"	0.00142512621466064	0.0467167042559877	0.0432230793391022	"TBPL1/VPS9D1/NME4/ATP5PB/ATP5F1E/CMPK2/COX5B/PID1/AK5/ATP5MC3/ATP5PF/FLCN/PINK1/STOML2/ATP5F1C/ATP5MG/ATP5PD/DTYMK/NME1/ATP5MF"	20
"BP"	"GO:1903533"	"regulation of protein targeting"	"20/2271"	"82/18866"	0.00142512621466064	0.0467167042559877	0.0432230793391022	"SIRT4/SH3GLB1/BNIP3L/GSK3A/UBE2D3/HTRA2/RHOU/ATP5IF1/INPP5K/STOM/KCNB1/PINK1/DMTN/MTCL1/MFF/UBE2L3/UBL5/LEPROT/FIS1/SIAH3"	20
"BP"	"GO:0019882"	"antigen processing and presentation"	"44/2271"	"232/18866"	0.0014367608706202	0.0468475751962862	0.0433441633309161	"SLC11A1/PSMA4/AP2S1/KIF22/RAB10/DYNLL1/NCF4/PSMA3/PSMB5/PSME2/PSMA7/CAPZA1/PSMF1/AP1M2/CTSL/CD36/PSMB7/CCL21/DCTN3/KIF2B/CLTC/PSMB6/PSMA5/FCGR1A/ABCB9/PSMA8/FCER1G/PSMB4/AZGP1/AP2M1/PSMD6/MARCHF8/RAB8B/RILP/PSMD2/CALR/CTSE/AP2A1/FCGR1B/CAPZA2/PSMB8/PSMB9/SEC22B/PSMB3"	44
"CC"	"GO:0005833"	"hemoglobin complex"	"10/2387"	"12/19559"	3.7645308935957e-08	1.37754952210629e-05	1.23799715151907e-05	"HBQ1/CYB5R3/AHSP/HBA2/HBG2/HBA1/HBM/HBG1/HBD/HBB"	10
"CC"	"GO:0005839"	"proteasome core complex"	"13/2387"	"20/19559"	4.3494916213314e-08	1.37754952210629e-05	1.23799715151907e-05	"PSMA4/PSMA3/PSMB5/PSMA7/PSMF1/PSMB7/PSMB6/PSMA5/PSMA8/PSMB4/PSMB8/PSMB9/PSMB3"	13
"CC"	"GO:0005743"	"mitochondrial inner membrane"	"101/2387"	"489/19559"	5.75577794751932e-08	1.37754952210629e-05	1.23799715151907e-05	"NDUFAB1/HCCS/SLC25A39/MYOC/MPC1/NDUFB4/FECH/CPOX/PGS1/SIRT4/NDUFB2/GCAT/NME4/MRPL27/NDUFC1/MRPL51/COX6A1/TMEM14C/MRPL18/COX7A2/EFHD1/MRPL37/ATP5PB/MRPS15/NDUFB3/MRPS14/ATP5F1E/NDUFA1/MRPS7/COX6B1/IFI6/COX7C/UQCR11/ECSIT/MRPL34/COX7B/NDUFA2/CKMT2/LGALS3/RSAD2/TIMM10/ABCB10/COX5B/MRPL47/TMEM14B/UQCC2/SQOR/MPC2/PPOX/TAMM41/SLC25A38/NDUFS6/SLC25A48/NDUFB11/SLC25A37/NDUFB9/TIMM8B/NDUFC2/SLC25A31/ATP5MC3/ATP5PF/UQCRB/ALAS2/PINK1/MRPS18C/UQCRQ/COX6C/NDUFB6/STOML2/ATP5F1C/GHITM/ATP23/ATP5MG/DHRS13/ATP5PD/UQCRFS1/NDUFA3/MRPL36/BCL2L1/CHCHD1/UQCRH/UCP2/COX8A/NDUFAF3/TMEM11/MRPL14/HIGD1A/SLC25A41/SLC25A18/NDUFB1/UQCR10/NDUFA6/DUSP21/NDUFA4/HSD3B1/CKMT1A/PET100/ATP5MF/MRPL20/STMP1/TIMM23"	101
"CC"	"GO:0031838"	"haptoglobin-hemoglobin complex"	"9/2387"	"11/19559"	2.58532001439058e-07	4.64064942583108e-05	4.17052939163532e-05	"HBQ1/HBA2/HBG2/HBA1/HBM/HBG1/HBD/HBB/HP"	9
"CC"	"GO:0070469"	"respirasome"	"30/2387"	"101/19559"	2.15591313995233e-06	0.000309589126897155	0.00027822626416648	"NDUFAB1/NDUFB4/NDUFB2/NDUFC1/COX6A1/COX7A2/NDUFB3/NDUFA1/COX6B1/COX7C/UQCR11/COX7B/NDUFA2/NDUFS6/NDUFB11/NDUFB9/NDUFC2/UQCRB/UQCRQ/NDUFB6/UQCRFS1/NDUFA3/UQCRH/COX8A/HIGD1A/NDUFB1/UQCR10/NDUFA6/NDUFA4/STMP1"	30
"CC"	"GO:0071682"	"endocytic vesicle lumen"	"11/2387"	"20/19559"	5.10435814814727e-06	0.000499019875345204	0.000448466769662234	"MPO/LTF/HSP90AA1/APOE/SCGB3A2/HSP90B1/CALR/HBA2/HBA1/HBB/HP"	11
"CC"	"GO:0098803"	"respiratory chain complex"	"26/2387"	"85/19559"	5.5581293691452e-06	0.000499019875345204	0.000448466769662234	"NDUFAB1/NDUFB4/NDUFB2/NDUFC1/COX6A1/NDUFB3/NDUFA1/COX6B1/COX7C/COX7B/NDUFA2/NDUFS6/NDUFB11/NDUFB9/NDUFC2/UQCRB/UQCRQ/NDUFB6/UQCRFS1/NDUFA3/UQCRH/COX8A/NDUFB1/UQCR10/NDUFA6/NDUFA4"	26
"CC"	"GO:0031970"	"organelle envelope lumen"	"27/2387"	"90/19559"	5.56011003170143e-06	0.000499019875345204	0.000448466769662234	"ALOX5/MYOC/CCAR1/REXO2/CPOX/PRELID3B/NME4/CHCHD2/HTRA2/CACYBP/CAT/PLAAT1/TIMM10/BLOC1S1/UQCC2/COX17/SOD1/PPOX/TIMM8B/PINK1/STOML2/DTYMK/PRELID1/TUBB/HSD3B1/STMP1/TIMM23"	27
"CC"	"GO:0000502"	"proteasome complex"	"21/2387"	"63/19559"	9.92148071593057e-06	0.000730174234109473	0.000656204083725417	"PSMA4/TXNL1/PSMA3/PSMB5/PSME2/PSMA7/HSPB1/PSMF1/DNAJB2/PSMB7/PSMB6/PSMA5/PSMA8/PSMB4/PSMD6/PSMD2/ZFAND2A/RAD23A/PSMB8/PSMB9/PSMB3"	21
"CC"	"GO:0060205"	"cytoplasmic vesicle lumen"	"67/2387"	"326/19559"	1.12208221259047e-05	0.000730174234109473	0.000656204083725417	"AOC1/MPO/LTF/ALOX5/SERPINB1/ACTN2/TOLLIP/HSP90AA1/FTL/CYB5R3/CTSG/VTI1B/SERPINA4/RETN/SERPINE1/LGALS3BP/HSPA8/VWF/MAPK14/KNG1/GCA/PRDX6/ARG1/NPC2/CAT/PSMB7/IDH1/SRP14/PSMA5/CREG1/S100A8/ILF2/LEFTY2/AHSG/PLAC8/DYNLT1/ALAD/LCN2/VEGFC/GIP/HK3/S100A9/S100A12/MNDA/PSMD6/GYG1/S100P/CAMP/DEFA4/RNASE2/PA2G4/LRG1/FGA/AZU1/GTPBP2/HSPA6/ZG16/PSMD2/HMGB1/TUBB/PRTN3/ELANE/PNP/CSNK2B/DEFA1/DEFA3/HP"	67
"CC"	"GO:1905369"	"endopeptidase complex"	"22/2387"	"69/19559"	1.37748069462879e-05	0.000730174234109473	0.000656204083725417	"PSMA4/TXNL1/PSMA3/PSMB5/PSME2/PSMA7/HSPB1/HTRA2/PSMF1/DNAJB2/PSMB7/PSMB6/PSMA5/PSMA8/PSMB4/PSMD6/PSMD2/ZFAND2A/RAD23A/PSMB8/PSMB9/PSMB3"	22
"CC"	"GO:0031983"	"vesicle lumen"	"67/2387"	"328/19559"	1.3824841871211e-05	0.000730174234109473	0.000656204083725417	"AOC1/MPO/LTF/ALOX5/SERPINB1/ACTN2/TOLLIP/HSP90AA1/FTL/CYB5R3/CTSG/VTI1B/SERPINA4/RETN/SERPINE1/LGALS3BP/HSPA8/VWF/MAPK14/KNG1/GCA/PRDX6/ARG1/NPC2/CAT/PSMB7/IDH1/SRP14/PSMA5/CREG1/S100A8/ILF2/LEFTY2/AHSG/PLAC8/DYNLT1/ALAD/LCN2/VEGFC/GIP/HK3/S100A9/S100A12/MNDA/PSMD6/GYG1/S100P/CAMP/DEFA4/RNASE2/PA2G4/LRG1/FGA/AZU1/GTPBP2/HSPA6/ZG16/PSMD2/HMGB1/TUBB/PRTN3/ELANE/PNP/CSNK2B/DEFA1/DEFA3/HP"	67
"CC"	"GO:0005746"	"mitochondrial respirasome"	"26/2387"	"89/19559"	1.39742669558379e-05	0.000730174234109473	0.000656204083725417	"NDUFAB1/NDUFB4/NDUFB2/NDUFC1/COX6A1/COX7A2/NDUFB3/NDUFA1/COX7C/COX7B/NDUFA2/NDUFS6/NDUFB11/NDUFB9/NDUFC2/UQCRB/UQCRQ/NDUFB6/UQCRFS1/NDUFA3/UQCRH/NDUFB1/UQCR10/NDUFA6/NDUFA4/STMP1"	26
"CC"	"GO:0034774"	"secretory granule lumen"	"66/2387"	"322/19559"	1.42373806093769e-05	0.000730174234109473	0.000656204083725417	"AOC1/MPO/LTF/ALOX5/SERPINB1/ACTN2/TOLLIP/HSP90AA1/FTL/CYB5R3/CTSG/VTI1B/SERPINA4/RETN/SERPINE1/LGALS3BP/HSPA8/VWF/MAPK14/KNG1/GCA/PRDX6/ARG1/NPC2/CAT/PSMB7/IDH1/SRP14/PSMA5/CREG1/S100A8/ILF2/LEFTY2/AHSG/PLAC8/DYNLT1/ALAD/LCN2/VEGFC/GIP/HK3/S100A9/S100A12/MNDA/PSMD6/GYG1/S100P/CAMP/DEFA4/RNASE2/PA2G4/LRG1/FGA/AZU1/GTPBP2/HSPA6/PSMD2/HMGB1/TUBB/PRTN3/ELANE/PNP/CSNK2B/DEFA1/DEFA3/HP"	66
"CC"	"GO:0101002"	"ficolin-1-rich granule"	"31/2387"	"124/19559"	6.54779443474316e-05	0.00293832275259099	0.00264065657137997	"ALOX5/HSP90AA1/MMP9/PDAP1/HSPA8/LTA4H/MAPK14/CAT/PSMB7/IDH1/SRP14/PSMA5/ILF2/DYNLT1/ALAD/COMMD3/HK3/MNDA/PSMD6/GYG1/APEH/CTSB/LRG1/HSPA6/PSMD2/HMGB1/PNP/HSPA1B/HSPA1A/CSNK2B/HBB"	31
"CC"	"GO:1904813"	"ficolin-1-rich granule lumen"	"31/2387"	"124/19559"	6.54779443474316e-05	0.00293832275259099	0.00264065657137997	"ALOX5/HSP90AA1/MMP9/PDAP1/HSPA8/LTA4H/MAPK14/CAT/PSMB7/IDH1/SRP14/PSMA5/ILF2/DYNLT1/ALAD/COMMD3/HK3/MNDA/PSMD6/GYG1/APEH/CTSB/LRG1/HSPA6/PSMD2/HMGB1/PNP/HSPA1B/HSPA1A/CSNK2B/HBB"	31
"CC"	"GO:1905368"	"peptidase complex"	"25/2387"	"92/19559"	7.66999779054416e-05	0.00323944612565336	0.0029112747031601	"PSMA4/TXNL1/PSMA3/PSMB5/PSME2/PSMA7/HSPB1/HTRA2/PSMF1/DNAJB2/PSMB7/PSMB6/PSMA5/PSMA8/PSMB4/PSMD6/SEC11C/PSMD2/ZFAND2A/RAD23A/PSMB8/SUPT20HL2/PSMB9/TAF9/PSMB3"	25
"CC"	"GO:0019774"	"proteasome core complex, beta-subunit complex"	"7/2387"	"11/19559"	8.42626847044649e-05	0.00336114486765588	0.00302064477917175	"PSMB5/PSMB7/PSMB6/PSMB4/PSMB8/PSMB9/PSMB3"	7
"CC"	"GO:0098800"	"inner mitochondrial membrane protein complex"	"33/2387"	"138/19559"	9.89169761704358e-05	0.00373802046791436	0.00335934107437547	"NDUFAB1/NDUFB4/NDUFB2/NDUFC1/COX6A1/ATP5PB/NDUFB3/ATP5F1E/NDUFA1/COX7C/NDUFA2/TIMM10/NDUFS6/NDUFB11/NDUFB9/NDUFC2/ATP5MC3/ATP5PF/UQCRB/UQCRQ/NDUFB6/ATP5F1C/ATP5MG/ATP5PD/UQCRFS1/NDUFA3/UQCRH/NDUFB1/UQCR10/NDUFA6/NDUFA4/ATP5MF/TIMM23"	33
"CC"	"GO:0005758"	"mitochondrial intermembrane space"	"22/2387"	"80/19559"	0.000167224780126877	0.00596993524736977	0.00536515218683136	"MYOC/REXO2/CPOX/PRELID3B/NME4/CHCHD2/HTRA2/CAT/TIMM10/BLOC1S1/UQCC2/COX17/SOD1/PPOX/TIMM8B/PINK1/STOML2/DTYMK/PRELID1/HSD3B1/STMP1/TIMM23"	22
"CC"	"GO:0005747"	"mitochondrial respiratory chain complex I"	"16/2387"	"50/19559"	0.000191237480068948	0.00596993524736977	0.00536515218683136	"NDUFAB1/NDUFB4/NDUFB2/NDUFC1/NDUFB3/NDUFA1/NDUFA2/NDUFS6/NDUFB11/NDUFB9/NDUFC2/NDUFB6/NDUFA3/NDUFB1/NDUFA6/NDUFA4"	16
"CC"	"GO:0030964"	"NADH dehydrogenase complex"	"16/2387"	"50/19559"	0.000191237480068948	0.00596993524736977	0.00536515218683136	"NDUFAB1/NDUFB4/NDUFB2/NDUFC1/NDUFB3/NDUFA1/NDUFA2/NDUFS6/NDUFB11/NDUFB9/NDUFC2/NDUFB6/NDUFA3/NDUFB1/NDUFA6/NDUFA4"	16
"CC"	"GO:0045271"	"respiratory chain complex I"	"16/2387"	"50/19559"	0.000191237480068948	0.00596993524736977	0.00536515218683136	"NDUFAB1/NDUFB4/NDUFB2/NDUFC1/NDUFB3/NDUFA1/NDUFA2/NDUFS6/NDUFB11/NDUFB9/NDUFC2/NDUFB6/NDUFA3/NDUFB1/NDUFA6/NDUFA4"	16
"CC"	"GO:0000151"	"ubiquitin ligase complex"	"54/2387"	"287/19559"	0.000758587339844362	0.0226944045836772	0.0203953526019559	"CDC27/RNF14/DCUN1D1/TSPAN17/UBE2D1/UBE2A/DEPDC5/FBXO7/RBX1/DCAF11/GID8/ELOB/FZR1/UBE2S/FBXO9/SKP1/RNF7/ABTB1/CACYBP/CDC20/FBXL5/UBE2B/RNF11/CKS2/ANAPC13/DCAF8/PHC2/CUL4A/RANBP10/WDTC1/DCAF6/ATG3/MARCHF6/FBXL2/RMND5A/UBE2L6/AMFR/ZER1/FBXO27/ZSWIM5/WDR26/DDB1/GPR37/CKS1B/UBE2C/SPSB4/SHARPIN/PCGF5/FBXL7/KLHL25/PCGF3/UBE2L3/DCUN1D3/DCAF12"	54
"CC"	"GO:0033177"	"proton-transporting two-sector ATPase complex, proton-transporting domain"	"9/2387"	"24/19559"	0.00138427746447929	0.0395168200269058	0.0355135767138151	"ATP6V0A4/ATP5PB/ATP6V0D2/ATP5MC3/ATP5PF/ATP5MG/ATP5PD/ATP6V0C/ATP5MF"	9
