"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"BP"	"GO:0015986"	"ATP synthesis coupled proton transport"	"11/2271"	"27/18866"	0.000154439954170035	0.0102904012941556	0.00952085209460124	"VPS9D1/ATP5PB/ATP5F1E/COX5B/ATP5MC3/ATP5PF/STOML2/ATP5F1C/ATP5MG/ATP5PD/ATP5MF"	11
"BP"	"GO:0060070"	"canonical Wnt signaling pathway"	"64/2271"	"339/18866"	0.000160869012562942	0.0105495815056215	0.00976064997892822	"HECW1/ISL1/WWTR1/PSMA4/WNK1/WNT8A/CDH3/FGFR2/LRP6/WNT8B/RBX1/PSMA3/PPM1A/PSMB5/PSME2/PSMA7/GID8/DKKL1/PLEKHA4/GSK3A/IFT20/FOLR1/MAPK14/SEMA5A/STK11/FOXO3/UBE2B/TNN/EGR1/PSMF1/APOE/TRPM4/WNT2B/LRP4/ANKRD6/PSMB7/PPM1B/NKD1/PSMB6/PSMA5/RBMS3/RSPO2/PSMA8/DKK2/GNAQ/PSMB4/AMFR/PSMD6/GPRC5B/RBPJ/CDH2/PYGO1/MCC/FZD4/PSMD2/DDIT3/FRAT2/SIAH2/NOG/KREMEN1/SHISA6/PSMB8/PSMB9/PSMB3"	64
"BP"	"GO:0070584"	"mitochondrion morphogenesis"	"10/2271"	"23/18866"	0.000161771722924701	0.0105495815056215	0.00976064997892822	"POLDIP2/MYH14/SSBP1/SLIRP/NDUFS6/FEZ1/PID1/MFF/BCL2L1/FIS1"	10
"BP"	"GO:0070555"	"response to interleukin-1"	"44/2271"	"211/18866"	0.000176670788709336	0.011399915103034	0.0105473929037773	"GCLC/CCL26/PSMA4/TOLLIP/IRAK3/RBX1/PSMA3/PSMB5/PSME2/PSMA7/CCL22/CCL24/SKP1/CCL20/IL1R2/IL1R1/GBP1/EGR1/PTGIS/IL1B/PSMF1/PSMB7/CCL21/PSMB6/PSMA5/SNCA/LCN2/PSMA8/MAPK13/TAB3/TRIM63/PSMB4/GBP2/PSMD6/SLC30A8/UBB/PSMD2/PELI1/PSMB8/UBA52/PSMB9/TAF9/CCL4/PSMB3"	44
"BP"	"GO:0043620"	"regulation of DNA-templated transcription in response to stress"	"28/2271"	"115/18866"	0.000184903226194583	0.0117245586037532	0.0108477585227135	"PSMA4/RBX1/PSMA3/PSMB5/PSME2/PSMA7/ELOB/EGR1/PSMF1/PSMB7/PSMB6/PSMA5/PSMA8/BACH1/PSMB4/PSMD6/ANKRD2/RBPJ/UBB/PSMD2/DDIT3/HIGD1A/PSMB8/HSPA1A/UBA52/PSMB9/EGLN2/PSMB3"	28
"BP"	"GO:0060218"	"hematopoietic stem cell differentiation"	"23/2271"	"87/18866"	0.000185742958950885	0.0117245586037532	0.0108477585227135	"PSMA4/TCF3/TP73/PSMA3/PSMB5/PSME2/PSMA7/GATA1/PSMF1/LMO2/PSMB7/PSMB6/PSMA5/PSMA8/PSMB4/TAL1/PSMD6/CHD2/PSMD2/PSMB8/PSMB9/N4BP2L2/PSMB3"	23
"BP"	"GO:0048872"	"homeostasis of number of cells"	"51/2271"	"256/18866"	0.00018885675696803	0.0117245586037532	0.0108477585227135	"SLC4A1/KMT2E/ARID4A/ADD1/RBFOX2/GATA1/TNFSF13B/KLF1/JAK3/LIPA/TMEM14C/MAPK14/RHAG/BCL6/STAT1/PRDX1/FOXO3/SLC46A2/INHA/FAM210B/ATP5IF1/RPS24/SLC40A1/PMAIP1/SOD1/DYRK3/SLC25A38/PRDM14/CCNB2/ALAS2/DMTN/FCER1G/KLHL10/TAL1/TRIM58/SPTA1/HMGB2/EPB42/AXL/PRDX2/AHSP/CDH2/BPGM/IL20RB/ISG15/PLA2G2A/HMGB1/HSPA1B/HSPA1A/TRIM10/RHEX"	51
"BP"	"GO:0050832"	"defense response to fungus"	"14/2271"	"41/18866"	0.000190985329620603	0.0117245586037532	0.0108477585227135	"MPO/LTF/CTSG/ARG1/PLA2G5/S100A8/S100A9/S100A12/DEFA4/IL17RA/NLRP10/ELANE/DEFA1/DEFA3"	14
"BP"	"GO:1901293"	"nucleoside phosphate biosynthetic process"	"53/2271"	"269/18866"	0.00019126523007754	0.0117245586037532	0.0108477585227135	"UPP2/NOS2/NADK/TBPL1/MPC1/KARS1/ELOVL1/VPS9D1/ACACB/ADCY2/NOS1/PRPS2/NME4/NAMPT/GARS1/ATP5PB/PANK3/ATP5F1E/PTGIS/DUT/ACSBG2/CMPK2/COX5B/PARP9/MPC2/GUK1/ACSL1/GUCY1A2/PID1/AK5/ATP5MC3/ATP5PF/FLCN/DCK/PINK1/STOML2/ATP5F1C/HPRT1/ATP5MG/ATP5PD/TK1/DTYMK/RRM2/PDZD3/SLC22A13/IDH2/UPP1/IDO2/ELOVL2/PNP/PPT2/NME1/ATP5MF"	53
"BP"	"GO:0048002"	"antigen processing and presentation of peptide antigen"	"41/2271"	"194/18866"	0.000214198848116983	0.0130003855342287	0.0120281750250579	"SLC11A1/PSMA4/AP2S1/KIF22/DYNLL1/NCF4/PSMA3/PSMB5/PSME2/PSMA7/CAPZA1/PSMF1/AP1M2/CTSL/CD36/PSMB7/DCTN3/KIF2B/CLTC/PSMB6/PSMA5/FCGR1A/ABCB9/PSMA8/FCER1G/PSMB4/AZGP1/AP2M1/PSMD6/MARCHF8/RILP/PSMD2/CALR/CTSE/AP2A1/FCGR1B/CAPZA2/PSMB8/PSMB9/SEC22B/PSMB3"	41
